Release 14.7 - par P.20131013 (nt64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Tue Dec 22 18:43:15 2015


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       Greedy_snake_map.ncd
OUTPUT FILE:      Greedy_snake_pad.txt
PART TYPE:        xc6slx9
SPEED GRADE:      -2
PACKAGE:          ftg256

Pinout by Pin Number:

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name   |Pin Usage|Pin Name                     |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|A13       |              |IOBS     |IO_L63N_SCP6_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|A14       |              |IOBS     |IO_L65N_SCP2_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|A15       |              |         |TMS                          |         |           |              |          |         |           |         |         |          |           |                |
|A16       |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|B1        |              |IOBS     |IO_L50N_M3BA2_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|B2        |              |IOBM     |IO_L52P_M3A8_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|B3        |              |IOBM     |IO_L83P_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|B4        |              |         |VCCO_0                       |         |           |0             |          |         |           |         |any******|          |           |                |
|B5        |              |IOBM     |IO_L2P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B6        |              |IOBM     |IO_L4P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B7        |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|B8        |              |IOBM     |IO_L33P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B9        |              |         |VCCO_0                       |         |           |0             |          |         |           |         |any******|          |           |                |
|B10       |              |IOBM     |IO_L35P_GCLK17_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B11       |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|B12       |              |IOBM     |IO_L62P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B13       |              |         |VCCO_0                       |         |           |0             |          |         |           |         |any******|          |           |                |
|B14       |              |IOBM     |IO_L65P_SCP3_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B15       |              |IOBM     |IO_L29P_A23_M1A13_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|B16       |              |IOBS     |IO_L29N_A22_M1A14_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|C1        |              |IOBM     |IO_L50P_M3WE_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|C2        |              |IOBS     |IO_L48N_M3BA1_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|C3        |Left          |IOB      |IO_L48P_M3BA0_3              |INPUT    |LVCMOS33   |3             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|C4        |              |IOBM     |IO_L1P_HSWAPEN_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C5        |              |IOBS     |IO_L3N_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C6        |              |IOBS     |IO_L7N_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C7        |              |IOBM     |IO_L6P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C8        |              |IOBS     |IO_L38N_VREF_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C9        |              |IOBM     |IO_L34P_GCLK19_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C10       |              |IOBS     |IO_L37N_GCLK12_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C11       |              |IOBM     |IO_L39P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C12       |              |         |TDI                          |         |           |              |          |         |           |         |         |          |           |                |
|C13       |              |IOBM     |IO_L63P_SCP7_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C14       |              |         |TCK                          |         |           |              |          |         |           |         |         |          |           |                |
|C15       |              |IOBM     |IO_L33P_A15_M1A10_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|C16       |              |IOBS     |IO_L33N_A14_M1A4_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|D1        |              |IOBS     |IO_L49N_M3A2_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|D2        |              |         |VCCO_3                       |         |           |3             |          |         |           |         |2.50     |          |           |                |
|D3        |Right         |IOB      |IO_L49P_M3A7_3               |INPUT    |LVCMOS33   |3             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|D4        |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|D5        |              |IOBM     |IO_L3P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D6        |              |IOBM     |IO_L7P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D7        |              |         |VCCO_0                       |         |           |0             |          |         |           |         |any******|          |           |                |
|D8        |              |IOBM     |IO_L38P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D9        |              |IOBS     |IO_L40N_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D10       |              |         |VCCO_0                       |         |           |0             |          |         |           |         |any******|          |           |                |
|D11       |              |IOBM     |IO_L66P_SCP1_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D12       |              |IOBS     |IO_L66N_SCP0_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D13       |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|D14       |              |IOBM     |IO_L31P_A19_M1CKE_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|D15       |              |         |VCCO_1                       |         |           |1             |          |         |           |         |3.30     |          |           |                |
|D16       |              |IOBS     |IO_L31N_A18_M1A12_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|E1        |              |IOBS     |IO_L46N_M3CLKN_3             |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|E2        |              |IOBM     |IO_L46P_M3CLK_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|E3        |Down          |IOB      |IO_L54N_M3A11_3              |INPUT    |LVCMOS33   |3             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|E4        |Up            |IOB      |IO_L54P_M3RESET_3            |INPUT    |LVCMOS33   |3             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|E5        |              |         |VCCAUX                       |         |           |              |          |         |           |         |2.5      |          |           |                |
|E6        |              |IOBS     |IO_L5N_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|E7        |              |IOBM     |IO_L36P_GCLK15_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|E8        |              |IOBS     |IO_L36N_GCLK14_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|E9        |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|E10       |              |IOBM     |IO_L37P_GCLK13_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|E11       |              |IOBS     |IO_L64N_SCP4_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|E12       |              |IOBS     |IO_L1N_A24_VREF_1            |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|E13       |              |IOBM     |IO_L1P_A25_1                 |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|E14       |              |         |TDO                          |         |           |              |          |         |           |         |         |          |           |                |
|E15       |              |IOBM     |IO_L34P_A13_M1WE_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|E16       |              |IOBS     |IO_L34N_A12_M1BA2_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F1        |              |IOBS     |IO_L41N_GCLK26_M3DQ5_3       |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F2        |              |IOBM     |IO_L41P_GCLK27_M3DQ4_3       |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F3        |              |IOBS     |IO_L53N_M3A12_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F4        |              |IOBM     |IO_L53P_M3CKE_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F5        |              |IOBS     |IO_L55N_M3A14_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F6        |              |IOBM     |IO_L55P_M3A13_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F7        |              |IOBM     |IO_L5P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|F8        |              |         |VCCAUX                       |         |           |              |          |         |           |         |2.5      |          |           |                |
|F9        |              |IOBM     |IO_L40P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|F10       |              |IOBM     |IO_L64P_SCP5_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|F11       |              |         |VCCAUX                       |         |           |              |          |         |           |         |2.5      |          |           |                |
|F12       |              |IOBM     |IO_L30P_A21_M1RESET_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F13       |              |IOBM     |IO_L32P_A17_M1A8_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F14       |              |IOBS     |IO_L32N_A16_M1A9_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F15       |              |IOBM     |IO_L35P_A11_M1A7_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F16       |              |IOBS     |IO_L35N_A10_M1A2_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|G1        |              |IOBS     |IO_L40N_M3DQ7_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G2        |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|G3        |              |IOBM     |IO_L40P_M3DQ6_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G4        |              |         |VCCO_3                       |         |           |3             |          |         |           |         |2.50     |          |           |                |
|G5        |              |IOBS     |IO_L51N_M3A4_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G6        |              |IOBM     |IO_L51P_M3A10_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G7        |              |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
|G8        |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|G9        |              |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
|G10       |              |         |VCCAUX                       |         |           |              |          |         |           |         |2.5      |          |           |                |
|G11       |              |IOBS     |IO_L30N_A20_M1A11_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|G12       |              |IOBM     |IO_L38P_A5_M1CLK_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|G13       |              |         |VCCO_1                       |         |           |1             |          |         |           |         |3.30     |          |           |                |
|G14       |              |IOBM     |IO_L36P_A9_M1BA0_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|G15       |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|G16       |              |IOBS     |IO_L36N_A8_M1BA1_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H1        |              |IOBS     |IO_L39N_M3LDQSN_3            |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H2        |              |IOBM     |IO_L39P_M3LDQS_3             |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H3        |              |IOBS     |IO_L44N_GCLK20_M3A6_3        |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H4        |              |IOBM     |IO_L44P_GCLK21_M3A5_3        |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H5        |              |IOBS     |IO_L43N_GCLK22_IRDY2_M3CASN_3|UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H6        |              |         |VCCAUX                       |         |           |              |          |         |           |         |2.5      |          |           |                |
|H7        |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|H8        |              |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
|H9        |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|H10       |              |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
|H11       |              |IOBS     |IO_L38N_A4_M1CLKN_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H12       |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|H13       |              |IOBM     |IO_L39P_M1A3_1               |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H14       |              |IOBS     |IO_L39N_M1ODT_1              |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H15       |              |IOBM     |IO_L37P_A7_M1A0_1            |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H16       |              |IOBS     |IO_L37N_A6_M1A1_1            |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|J1        |              |IOBS     |IO_L38N_M3DQ3_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|J2        |              |         |VCCO_3                       |         |           |3             |          |         |           |         |2.50     |          |           |                |
|J3        |vga_sync      |IOB      |IO_L38P_M3DQ2_3              |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|J4        |              |IOBS     |IO_L42N_GCLK24_M3LDM_3       |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|J5        |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|J6        |              |IOBM     |IO_L43P_GCLK23_M3RASN_3      |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|J7        |              |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
|J8        |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|J9        |              |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
|J10       |              |         |VCCAUX                       |         |           |              |          |         |           |         |2.5      |          |           |                |
|J11       |              |IOBM     |IO_L40P_GCLK11_M1A5_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|J12       |              |IOBS     |IO_L40N_GCLK10_M1A6_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|J13       |              |IOBM     |IO_L41P_GCLK9_IRDY1_M1RASN_1 |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|J14       |              |IOBM     |IO_L43P_GCLK5_M1DQ4_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|J15       |              |         |VCCO_1                       |         |           |1             |          |         |           |         |3.30     |          |           |                |
|J16       |              |IOBS     |IO_L43N_GCLK4_M1DQ5_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|K1        |Smg_we<3>     |IOB      |IO_L37N_M3DQ1_3              |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|K2        |vga_blank     |IOB      |IO_L37P_M3DQ0_3              |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|K3        |              |IOBM     |IO_L42P_GCLK25_TRDY2_M3UDM_3 |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|K4        |              |         |VCCO_3                       |         |           |3             |          |         |           |         |2.50     |          |           |                |
|K5        |              |IOBM     |IO_L47P_M3A0_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|K6        |              |IOBS     |IO_L47N_M3A1_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|K7        |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|K8        |              |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
|K9        |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|K10       |              |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
|K11       |              |IOBS     |IO_L42N_GCLK6_TRDY1_M1LDM_1  |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|K12       |              |IOBM     |IO_L42P_GCLK7_M1UDM_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|K13       |              |         |VCCO_1                       |         |           |1             |          |         |           |         |3.30     |          |           |                |
|K14       |              |IOBS     |IO_L41N_GCLK8_M1CASN_1       |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|K15       |              |IOBM     |IO_L44P_A3_M1DQ6_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|K16       |              |IOBS     |IO_L44N_A2_M1DQ7_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|L1        |Smg_we<2>     |IOB      |IO_L36N_M3DQ9_3              |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|L2        |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|L3        |Rst_n         |IOB      |IO_L36P_M3DQ8_3              |INPUT    |LVCMOS15   |3             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|L4        |              |IOBM     |IO_L45P_M3A3_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|L5        |              |IOBS     |IO_L45N_M3ODT_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|L6        |              |         |VCCAUX                       |         |           |              |          |         |           |         |2.5      |          |           |                |
|L7        |VGA_blue_o<4> |IOB      |IO_L62N_D6_2                 |OUTPUT   |LVCMOS33   |2             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|L8        |              |IOBM     |IO_L62P_D5_2                 |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|L9        |              |         |VCCAUX                       |         |           |              |          |         |           |         |2.5      |          |           |                |
|L10       |VGA_green_o<3>|IOB      |IO_L16P_2                    |OUTPUT   |LVCMOS33   |2             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|L11       |              |         |CMPCS_B_2                    |         |           |              |          |         |           |         |         |          |           |                |
|L12       |VGA_red_o<2>  |IOB      |IO_L53P_1                    |OUTPUT   |LVCMOS33   |1             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|L13       |VSYNC_Sig_out |IOB      |IO_L53N_VREF_1               |OUTPUT   |LVCMOS33   |1             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|L14       |              |IOBM     |IO_L47P_FWE_B_M1DQ0_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|L15       |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|L16       |              |IOBS     |IO_L47N_LDC_M1DQ1_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|M1        |Smg_we<0>     |IOB      |IO_L35N_M3DQ11_3             |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|M2        |Smg_we<1>     |IOB      |IO_L35P_M3DQ10_3             |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|M3        |              |IOBS     |IO_L1N_VREF_3                |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|M4        |Smg_duan<0>   |IOB      |IO_L1P_3                     |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|M5        |Smg_duan<1>   |IOB      |IO_L2P_3                     |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|M6        |              |IOBM     |IO_L64P_D8_2                 |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|M7        |VGA_blue_o<1> |IOB      |IO_L31N_GCLK30_D15_2         |OUTPUT   |LVCMOS33   |2             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|M8        |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|M9        |VGA_green_o<0>|IOB      |IO_L29P_GCLK3_2              |OUTPUT   |LVCMOS33   |2             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|M10       |VGA_green_o<4>|IOB      |IO_L16N_VREF_2               |OUTPUT   |LVCMOS33   |2             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|M11       |VGA_red_o<0>  |IOB      |IO_L2N_CMPMOSI_2             |OUTPUT   |LVCMOS33   |2             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|M12       |VGA_red_o<1>  |IOB      |IO_L2P_CMPCLK_2              |OUTPUT   |LVCMOS33   |2             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|M13       |VGA_red_o<4>  |IOB      |IO_L74P_AWAKE_1              |OUTPUT   |LVCMOS33   |1             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|M14       |HSYNC_Sig_out |IOB      |IO_L74N_DOUT_BUSY_1          |OUTPUT   |LVCMOS33   |1             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|M15       |              |IOBM     |IO_L46P_FCS_B_M1DQ2_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|M16       |              |IOBS     |IO_L46N_FOE_B_M1DQ3_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|N1        |vga_clk       |IOB      |IO_L34N_M3UDQSN_3            |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|N2        |              |         |VCCO_3                       |         |           |3             |          |         |           |         |2.50     |          |           |                |
|N3        |Smg_duan<7>   |IOB      |IO_L34P_M3UDQS_3             |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|N4        |Smg_duan<4>   |IOB      |IO_L2N_3                     |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|N5        |              |IOBM     |IO_L49P_D3_2                 |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|N6        |              |IOBS     |IO_L64N_D9_2                 |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|N7        |              |         |VCCO_2                       |         |           |2             |          |         |           |         |3.30     |          |           |                |
|N8        |VGA_blue_o<3> |IOB      |IO_L29N_GCLK2_2              |OUTPUT   |LVCMOS33   |2             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|N9        |VGA_green_o<1>|IOB      |IO_L14P_D11_2                |OUTPUT   |LVCMOS33   |2             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|N10       |              |         |VCCO_2                       |         |           |2             |          |         |           |         |3.30     |          |           |                |
|N11       |              |IOBM     |IO_L13P_M1_2                 |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|N12       |              |IOBM     |IO_L12P_D1_MISO2_2           |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|N13       |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|N14       |VGA_red_o<3>  |IOB      |IO_L45P_A1_M1LDQS_1          |OUTPUT   |LVCMOS33   |1             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|N15       |              |         |VCCO_1                       |         |           |1             |          |         |           |         |3.30     |          |           |                |
|N16       |              |IOBS     |IO_L45N_A0_M1LDQSN_1         |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P1        |Smg_duan<6>   |IOB      |IO_L33N_M3DQ13_3             |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|P2        |Smg_duan<5>   |IOB      |IO_L33P_M3DQ12_3             |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|P3        |              |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|P4        |              |IOBM     |IO_L63P_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|P5        |              |IOBS     |IO_L49N_D4_2                 |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|P6        |              |IOBM     |IO_L47P_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|P7        |VGA_blue_o<0> |IOB      |IO_L31P_GCLK31_D14_2         |OUTPUT   |LVCMOS33   |2             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|P8        |VGA_blue_o<2> |IOB      |IO_L30P_GCLK1_D13_2          |OUTPUT   |LVCMOS33   |2             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|P9        |VGA_green_o<2>|IOB      |IO_L14N_D12_2                |OUTPUT   |LVCMOS33   |2             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|P10       |              |IOBM     |IO_L3P_D0_DIN_MISO_MISO1_2   |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|P11       |VGA_green_o<5>|IOB      |IO_L13N_D10_2                |OUTPUT   |LVCMOS33   |2             |12        |SLOW     |           |         |         |LOCATED   |NO         |NONE            |
|P12       |              |IOBS     |IO_L12N_D2_MISO3_2           |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|P13       |              |         |DONE_2                       |         |           |              |          |         |           |         |         |          |           |                |
|P14       |              |         |SUSPEND                      |         |           |              |          |         |           |         |         |          |           |                |
