#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Jul 26 17:38:38 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       vga_ip_map.ncd
#OUTPUT FILE:      vga_ip_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          ftg256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C4,vga_b<0>,IOB,IO_L1P_HSWAPEN_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C5,vga_hs,IOB,IO_L3N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C6,S_AXI_AWADDR<7>,IOB,IO_L7N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C7,S_AXI_AWADDR<4>,IOB,IO_L6P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C8,S_AXI_RRESP<0>,IOB,IO_L38N_VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C9,S_AXI_ARREADY,IOB,IO_L34P_GCLK19_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C10,S_AXI_ARVALID,IOB,IO_L37N_GCLK12_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C11,S_AXI_ARADDR<3>,IOB,IO_L39P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C12,,,TDI,,,,,,,,,,,,
C13,S_AXI_ARADDR<5>,IOB,IO_L63P_SCP7_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C14,,,TCK,,,,,,,,,,,,
C15,S_AXI_RDATA<1>,IOB,IO_L33P_A15_M1A10_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
C16,S_AXI_RDATA<2>,IOB,IO_L33N_A14_M1A4_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
D1,,IOBS,IO_L49N_M3A2_3,UNUSED,,3,,,,,,,,,
D2,,,VCCO_3,,,3,,,,,any******,,,,
D3,,IOBM,IO_L49P_M3A7_3,UNUSED,,3,,,,,,,,,
D4,,,GND,,,,,,,,,,,,
D5,vga_b<4>,IOB,IO_L3P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
D6,S_AXI_AWADDR<6>,IOB,IO_L7P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D7,,,VCCO_0,,,0,,,,,2.50,,,,
D8,vga_r<4>,IOB,IO_L38P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
D9,S_AXI_ARADDR<2>,IOB,IO_L40N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D10,,,VCCO_0,,,0,,,,,2.50,,,,
D11,vga_r<2>,IOB,IO_L66P_SCP1_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
D12,S_AXI_ARADDR<8>,IOB,IO_L66N_SCP0_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D13,,,GND,,,,,,,,,,,,
D14,S_AXI_WDATA<1>,IOB,IO_L31P_A19_M1CKE_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
D15,,,VCCO_1,,,1,,,,,2.50,,,,
D16,S_AXI_WDATA<2>,IOB,IO_L31N_A18_M1A12_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
E1,,IOBS,IO_L46N_M3CLKN_3,UNUSED,,3,,,,,,,,,
E2,,IOBM,IO_L46P_M3CLK_3,UNUSED,,3,,,,,,,,,
E3,,IOBS,IO_L54N_M3A11_3,UNUSED,,3,,,,,,,,,
E4,,IOBM,IO_L54P_M3RESET_3,UNUSED,,3,,,,,,,,,
E5,,,VCCAUX,,,,,,,,2.5,,,,
E6,S_AXI_AWADDR<3>,IOB,IO_L5N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E7,vga_r<0>,IOB,IO_L36P_GCLK15_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E8,vga_r<1>,IOB,IO_L36N_GCLK14_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E9,,,GND,,,,,,,,,,,,
E10,S_AXI_RREADY,IOB,IO_L37P_GCLK13_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E11,S_AXI_ARADDR<4>,IOB,IO_L64N_SCP4_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E12,S_AXI_AWREADY,IOB,IO_L1N_A24_VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
E13,S_AXI_BRESP<0>,IOB,IO_L1P_A25_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
E14,,,TDO,,,,,,,,,,,,
E15,S_AXI_RDATA<3>,IOB,IO_L34P_A13_M1WE_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
E16,S_AXI_RDATA<4>,IOB,IO_L34N_A12_M1BA2_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F1,,IOBS,IO_L41N_GCLK26_M3DQ5_3,UNUSED,,3,,,,,,,,,
F2,,IOBM,IO_L41P_GCLK27_M3DQ4_3,UNUSED,,3,,,,,,,,,
F3,,IOBS,IO_L53N_M3A12_3,UNUSED,,3,,,,,,,,,
F4,,IOBM,IO_L53P_M3CKE_3,UNUSED,,3,,,,,,,,,
F5,,IOBS,IO_L55N_M3A14_3,UNUSED,,3,,,,,,,,,
F6,,IOBM,IO_L55P_M3A13_3,UNUSED,,3,,,,,,,,,
F7,S_AXI_AWADDR<2>,IOB,IO_L5P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F8,,,VCCAUX,,,,,,,,2.5,,,,
F9,S_AXI_ARADDR<1>,IOB,IO_L40P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F10,S_AXI_WREADY,IOB,IO_L64P_SCP5_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F11,,,VCCAUX,,,,,,,,2.5,,,,
F12,S_AXI_BRESP<1>,IOB,IO_L30P_A21_M1RESET_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F13,S_AXI_WDATA<3>,IOB,IO_L32P_A17_M1A8_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F14,S_AXI_RDATA<0>,IOB,IO_L32N_A16_M1A9_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F15,S_AXI_RDATA<5>,IOB,IO_L35P_A11_M1A7_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F16,S_AXI_RDATA<6>,IOB,IO_L35N_A10_M1A2_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G1,,IOBS,IO_L40N_M3DQ7_3,UNUSED,,3,,,,,,,,,
G2,,,GND,,,,,,,,,,,,
G3,,IOBM,IO_L40P_M3DQ6_3,UNUSED,,3,,,,,,,,,
G4,,,VCCO_3,,,3,,,,,any******,,,,
G5,,IOBS,IO_L51N_M3A4_3,UNUSED,,3,,,,,,,,,
G6,,IOBM,IO_L51P_M3A10_3,UNUSED,,3,,,,,,,,,
G7,,,VCCINT,,,,,,,,1.2,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,VCCINT,,,,,,,,1.2,,,,
G10,,,VCCAUX,,,,,,,,2.5,,,,
G11,S_AXI_WDATA<0>,IOB,IO_L30N_A20_M1A11_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G12,S_AXI_RDATA<11>,IOB,IO_L38P_A5_M1CLK_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G13,,,VCCO_1,,,1,,,,,2.50,,,,
G14,S_AXI_RDATA<7>,IOB,IO_L36P_A9_M1BA0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G15,,,GND,,,,,,,,,,,,
G16,S_AXI_RDATA<8>,IOB,IO_L36N_A8_M1BA1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H1,,IOBS,IO_L39N_M3LDQSN_3,UNUSED,,3,,,,,,,,,
H2,,IOBM,IO_L39P_M3LDQS_3,UNUSED,,3,,,,,,,,,
H3,,IOBS,IO_L44N_GCLK20_M3A6_3,UNUSED,,3,,,,,,,,,
H4,,IOBM,IO_L44P_GCLK21_M3A5_3,UNUSED,,3,,,,,,,,,
H5,,IOBS,IO_L43N_GCLK22_IRDY2_M3CASN_3,UNUSED,,3,,,,,,,,,
H6,,,VCCAUX,,,,,,,,2.5,,,,
H7,,,GND,,,,,,,,,,,,
H8,,,VCCINT,,,,,,,,1.2,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,VCCINT,,,,,,,,1.2,,,,
H11,S_AXI_RDATA<12>,IOB,IO_L38N_A4_M1CLKN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H12,,,GND,,,,,,,,,,,,
H13,S_AXI_RDATA<13>,IOB,IO_L39P_M1A3_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H14,S_AXI_RDATA<14>,IOB,IO_L39N_M1ODT_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H15,S_AXI_RDATA<9>,IOB,IO_L37P_A7_M1A0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H16,S_AXI_RDATA<10>,IOB,IO_L37N_A6_M1A1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J1,,IOBS,IO_L38N_M3DQ3_3,UNUSED,,3,,,,,,,,,
J2,,,VCCO_3,,,3,,,,,any******,,,,
J3,,IOBM,IO_L38P_M3DQ2_3,UNUSED,,3,,,,,,,,,
J4,S_AXI_ACLK,IOB,IO_L42N_GCLK24_M3LDM_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J5,,,GND,,,,,,,,,,,,
J6,,IOBM,IO_L43P_GCLK23_M3RASN_3,UNUSED,,3,,,,,,,,,
J7,,,VCCINT,,,,,,,,1.2,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,VCCINT,,,,,,,,1.2,,,,
J10,,,VCCAUX,,,,,,,,2.5,,,,
J11,S_AXI_RDATA<15>,IOB,IO_L40P_GCLK11_M1A5_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J12,S_AXI_RDATA<16>,IOB,IO_L40N_GCLK10_M1A6_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J13,S_AXI_RDATA<17>,IOB,IO_L41P_GCLK9_IRDY1_M1RASN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J14,S_AXI_RDATA<21>,IOB,IO_L43P_GCLK5_M1DQ4_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J15,,,VCCO_1,,,1,,,,,2.50,,,,
J16,S_AXI_RDATA<22>,IOB,IO_L43N_GCLK4_M1DQ5_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K1,,IOBS,IO_L37N_M3DQ1_3,UNUSED,,3,,,,,,,,,
K2,,IOBM,IO_L37P_M3DQ0_3,UNUSED,,3,,,,,,,,,
K3,,IOBM,IO_L42P_GCLK25_TRDY2_M3UDM_3,UNUSED,,3,,,,,,,,,
K4,,,VCCO_3,,,3,,,,,any******,,,,
K5,,IOBM,IO_L47P_M3A0_3,UNUSED,,3,,,,,,,,,
K6,,IOBS,IO_L47N_M3A1_3,UNUSED,,3,,,,,,,,,
K7,,,GND,,,,,,,,,,,,
K8,,,VCCINT,,,,,,,,1.2,,,,
K9,,,GND,,,,,,,,,,,,
K10,,,VCCINT,,,,,,,,1.2,,,,
K11,S_AXI_RDATA<20>,IOB,IO_L42N_GCLK6_TRDY1_M1LDM_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K12,S_AXI_RDATA<19>,IOB,IO_L42P_GCLK7_M1UDM_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K13,,,VCCO_1,,,1,,,,,2.50,,,,
K14,S_AXI_RDATA<18>,IOB,IO_L41N_GCLK8_M1CASN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K15,S_AXI_RDATA<23>,IOB,IO_L44P_A3_M1DQ6_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K16,S_AXI_RDATA<24>,IOB,IO_L44N_A2_M1DQ7_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L1,,IOBS,IO_L36N_M3DQ9_3,UNUSED,,3,,,,,,,,,
L2,,,GND,,,,,,,,,,,,
L3,,IOBM,IO_L36P_M3DQ8_3,UNUSED,,3,,,,,,,,,
L4,,IOBM,IO_L45P_M3A3_3,UNUSED,,3,,,,,,,,,
L5,,IOBS,IO_L45N_M3ODT_3,UNUSED,,3,,,,,,,,,
L6,,,VCCAUX,,,,,,,,2.5,,,,
L7,,IOBS,IO_L62N_D6_2,UNUSED,,2,,,,,,,,,
L8,,IOBM,IO_L62P_D5_2,UNUSED,,2,,,,,,,,,
L9,,,VCCAUX,,,,,,,,2.5,,,,
L10,,IOBM,IO_L16P_2,UNUSED,,2,,,,,,,,,
L11,,,CMPCS_B_2,,,,,,,,,,,,
L12,,IOBM,IO_L53P_1,UNUSED,,1,,,,,,,,,
L13,,IOBS,IO_L53N_VREF_1,UNUSED,,1,,,,,,,,,
L14,S_AXI_RDATA<29>,IOB,IO_L47P_FWE_B_M1DQ0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L15,,,GND,,,,,,,,,,,,
L16,S_AXI_RDATA<30>,IOB,IO_L47N_LDC_M1DQ1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M1,,IOBS,IO_L35N_M3DQ11_3,UNUSED,,3,,,,,,,,,
M2,,IOBM,IO_L35P_M3DQ10_3,UNUSED,,3,,,,,,,,,
M3,,IOBS,IO_L1N_VREF_3,UNUSED,,3,,,,,,,,,
M4,,IOBM,IO_L1P_3,UNUSED,,3,,,,,,,,,
M5,,IOBM,IO_L2P_3,UNUSED,,3,,,,,,,,,
M6,,IOBM,IO_L64P_D8_2,UNUSED,,2,,,,,,,,,
M7,,IOBS,IO_L31N_GCLK30_D15_2,UNUSED,,2,,,,,,,,,
M8,,,GND,,,,,,,,,,,,
M9,,IOBM,IO_L29P_GCLK3_2,UNUSED,,2,,,,,,,,,
M10,,IOBS,IO_L16N_VREF_2,UNUSED,,2,,,,,,,,,
M11,,IOBS,IO_L2N_CMPMOSI_2,UNUSED,,2,,,,,,,,,
M12,,IOBM,IO_L2P_CMPCLK_2,UNUSED,,2,,,,,,,,,
M13,,IOBM,IO_L74P_AWAKE_1,UNUSED,,1,,,,,,,,,
M14,,IOBS,IO_L74N_DOUT_BUSY_1,UNUSED,,1,,,,,,,,,
M15,S_AXI_RDATA<27>,IOB,IO_L46P_FCS_B_M1DQ2_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M16,S_AXI_RDATA<28>,IOB,IO_L46N_FOE_B_M1DQ3_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N1,,IOBS,IO_L34N_M3UDQSN_3,UNUSED,,3,,,,,,,,,
N2,,,VCCO_3,,,3,,,,,any******,,,,
N3,,IOBM,IO_L34P_M3UDQS_3,UNUSED,,3,,,,,,,,,
N4,,IOBS,IO_L2N_3,UNUSED,,3,,,,,,,,,
N5,,IOBM,IO_L49P_D3_2,UNUSED,,2,,,,,,,,,
N6,,IOBS,IO_L64N_D9_2,UNUSED,,2,,,,,,,,,
N7,,,VCCO_2,,,2,,,,,any******,,,,
N8,,IOBS,IO_L29N_GCLK2_2,UNUSED,,2,,,,,,,,,
N9,,IOBM,IO_L14P_D11_2,UNUSED,,2,,,,,,,,,
N10,,,VCCO_2,,,2,,,,,any******,,,,
N11,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
N12,,IOBM,IO_L12P_D1_MISO2_2,UNUSED,,2,,,,,,,,,
N13,,,GND,,,,,,,,,,,,
N14,S_AXI_RDATA<25>,IOB,IO_L45P_A1_M1LDQS_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N15,,,VCCO_1,,,1,,,,,2.50,,,,
N16,S_AXI_RDATA<26>,IOB,IO_L45N_A0_M1LDQSN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P1,,IOBS,IO_L33N_M3DQ13_3,UNUSED,,3,,,,,,,,,
P2,,IOBM,IO_L33P_M3DQ12_3,UNUSED,,3,,,,,,,,,
P3,,,GND,,,,,,,,,,,,
P4,,IOBM,IO_L63P_2,UNUSED,,2,,,,,,,,,
P5,,IOBS,IO_L49N_D4_2,UNUSED,,2,,,,,,,,,
P6,,IOBM,IO_L47P_2,UNUSED,,2,,,,,,,,,
P7,,IOBM,IO_L31P_GCLK31_D14_2,UNUSED,,2,,,,,,,,,
P8,,IOBM,IO_L30P_GCLK1_D13_2,UNUSED,,2,,,,,,,,,
P9,,IOBS,IO_L14N_D12_2,UNUSED,,2,,,,,,,,,
P10,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
P11,,IOBS,IO_L13N_D10_2,UNUSED,,2,,,,,,,,,
P12,,IOBS,IO_L12N_D2_MISO3_2,UNUSED,,2,,,,,,,,,
P13,,,DONE_2,,,,,,,,,,,,
P14,,,SUSPEND,,,,,,,,,,,,
P15,S_AXI_RDATA<31>,IOB,IO_L48P_HDC_M1DQ8_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P16,vga_g<0>,IOB,IO_L48N_M1DQ9_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R1,,IOBS,IO_L32N_M3DQ15_3,UNUSED,,3,,,,,,,,,
R2,,IOBM,IO_L32P_M3DQ14_3,UNUSED,,3,,,,,,,,,
R3,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
R4,,,VCCO_2,,,2,,,,,any******,,,,
R5,,IOBM,IO_L48P_D7_2,UNUSED,,2,,,,,,,,,
R6,,,GND,,,,,,,,,,,,
R7,,IOBM,IO_L32P_GCLK29_2,UNUSED,,2,,,,,,,,,
R8,,,VCCO_2,,,2,,,,,any******,,,,
R9,,IOBM,IO_L23P_2,UNUSED,,2,,,,,,,,,
R10,,,GND,,,,,,,,,,,,
R11,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
R12,,IOBM,IO_L52P_M1DQ14_1,UNUSED,,1,,,,,,,,,
R13,,,VCCO_1,,,1,,,,,2.50,,,,
R14,vga_g<3>,IOB,IO_L50P_M1UDQS_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R15,vga_g<1>,IOB,IO_L49P_M1DQ10_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R16,vga_g<2>,IOB,IO_L49N_M1DQ11_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
T1,,,GND,,,,,,,,,,,,
T2,,,PROGRAM_B_2,,,,,,,,,,,,
T3,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
T4,,IOBS,IO_L63N_2,UNUSED,,2,,,,,,,,,
T5,,IOBS,IO_L48N_RDWR_B_VREF_2,UNUSED,,2,,,,,,,,,
T6,,IOBS,IO_L47N_2,UNUSED,,2,,,,,,,,,
T7,,IOBS,IO_L32N_GCLK28_2,UNUSED,,2,,,,,,,,,
T8,,IOBS,IO_L30N_GCLK0_USERCCLK_2,UNUSED,,2,,,,,,,,,
T9,,IOBS,IO_L23N_2,UNUSED,,2,,,,,,,,,
T10,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
T11,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
T12,,IOBS,IO_L52N_M1DQ15_1,UNUSED,,1,,,,,,,,,
T13,,IOBS,IO_L51N_M1DQ13_1,UNUSED,,1,,,,,,,,,
T14,vga_g<5>,IOB,IO_L51P_M1DQ12_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
T15,vga_g<4>,IOB,IO_L50N_M1UDQSN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
T16,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
